OBJECTID,LAYER_ID,LAYER_SEGMENT_ID,SHORT_NAME,LAYER_CODE,HPMS_DATA_ITEM,ROUTE_DIR_ID,ROUTE_NAME,START_ACCUM,END_ACCUM,URBAN_CODE,URBAN_DESC,ERR_CD
195762372,14,6928236,Urban Code,URBAN-CODE,Urban_Code,2397,2666,0,16.9,99999,Rurall,0
195762373,14,6926326,Urban Code,URBAN-CODE,Urban_Code,1739,1958,35.789,50.412,99999,Rurall,0
195762374,14,6926373,Urban Code,URBAN-CODE,Urban_Code,6697,2067,0,4.032,78499,Salt Lake City,0
195762375,14,6930166,Urban Code,URBAN-CODE,Urban_Code,2262,3218,0,10.69,99999,Rurall,0
195762376,14,6924801,Urban Code,URBAN-CODE,Urban_Code,2292,1546,4.733,7.482,99998,Small Urban,0
195762377,14,6925224,Urban Code,URBAN-CODE,Urban_Code,2422,1618,0,20.457,99999,Rurall,0
195762378,14,6925268,Urban Code,URBAN-CODE,Urban_Code,2425,1630,0,12.207,99999,Rurall,0
195762172,14,6923650,Urban Code,URBAN-CODE,Urban_Code,2502,1142,0,11.624,99999,Rurall,0
195762173,14,6921030,Urban Code,URBAN-CODE,Urban_Code,6052,2562,0,5.017,99999,Rurall,0
195762174,14,6921031,Urban Code,URBAN-CODE,Urban_Code,2382,2624,0,3.35,99999,Rurall,0
195762279,14,6917770,Urban Code,URBAN-CODE,Urban_Code,6939,1181,0,2.023,50959,Logan,0
195762280,14,6917723,Urban Code,URBAN-CODE,Urban_Code,6926,1131,0,0.762,99998,Small Urban,0
195762281,14,6920947,Urban Code,URBAN-CODE,Urban_Code,1623,1202,0,1.205,50959,Logan,0
195762282,14,6921045,Urban Code,URBAN-CODE,Urban_Code,2522,2736,0,13.98,99999,Rurall,0
195762283,14,6924388,Urban Code,URBAN-CODE,Urban_Code,6960,1389,0.216,3.837,64945,Ogden - Layton,0
195762082,14,6920432,Urban Code,URBAN-CODE,Urban_Code,6960,1389,0,0.216,64945,Ogden - Layton,0
195762086,14,6918840,Urban Code,URBAN-CODE,Urban_Code,6847,3182,0,2.513,99998,Small Urban,0
195762105,14,7173541,Urban Code,URBAN-CODE,Urban_Code,6182,3340,0,2.352,64945,Ogden - Layton,0
195762230,14,6920975,Urban Code,URBAN-CODE,Urban_Code,2558,1626,0,4.971,99999,Rurall,0
195762231,14,6920976,Urban Code,URBAN-CODE,Urban_Code,2419,1640,0,28.63,99999,Rurall,0
195762232,14,6920977,Urban Code,URBAN-CODE,Urban_Code,6018,1664,0,22.254,99999,Rurall,0
195762233,14,6920978,Urban Code,URBAN-CODE,Urban_Code,6020,1672,0,21.066,99999,Rurall,0
195762234,14,6920979,Urban Code,URBAN-CODE,Urban_Code,6675,1684,0,23.116,99999,Rurall,0
195762235,14,6920980,Urban Code,URBAN-CODE,Urban_Code,6676,1686,0,16.029,99999,Rurall,0
195762236,14,6920981,Urban Code,URBAN-CODE,Urban_Code,6955,1693,0,0.348,99998,Small Urban,0
195762237,14,6920982,Urban Code,URBAN-CODE,Urban_Code,1707,1694,0,2.01,99999,Rurall,0
195762238,14,6920983,Urban Code,URBAN-CODE,Urban_Code,6954,1695,0,3.486,99998,Small Urban,0
195762239,14,6919545,Urban Code,URBAN-CODE,Urban_Code,6885,3231,0,2.148,77446,St. George,0
195762240,14,6929474,Urban Code,URBAN-CODE,Urban_Code,6255,2936,1.318,1.45,72559,Provo-Orem,0
195762241,14,6929547,Urban Code,URBAN-CODE,Urban_Code,1946,2960,4.44,4.594,72559,Provo-Orem,0
195762379,14,6926077,Urban Code,URBAN-CODE,Urban_Code,2473,1892,0,9.268,99999,Rurall,0
195762380,14,6926107,Urban Code,URBAN-CODE,Urban_Code,7000,1905,0,41.529,99999,Rurall,0
195762381,14,6924674,Urban Code,URBAN-CODE,Urban_Code,2290,1540,0,5.822,99999,Rurall,0
195762019,14,7173029,Urban Code,URBAN-CODE,Urban_Code,6319,3112,1.455,3.033,99998,Small Urban,0
195762291,14,6923459,Urban Code,URBAN-CODE,Urban_Code,6930,1085,0,6.505,64945,Ogden - Layton,0
195762345,14,6926242,Urban Code,URBAN-CODE,Urban_Code,2235,2012,0,4.244,99999,Rurall,0
195762346,14,6926275,Urban Code,URBAN-CODE,Urban_Code,2236,2014,0,9.802,99999,Rurall,0
195762347,14,6927212,Urban Code,URBAN-CODE,Urban_Code,6994,2501,0,0.603,99998,Small Urban,0
195762348,14,6919897,Urban Code,URBAN-CODE,Urban_Code,6893,3240,0,0.448,77446,St. George,0
195762349,14,6923554,Urban Code,URBAN-CODE,Urban_Code,2500,1127,1.801,1.963,99998,Small Urban,0
195762350,14,6923617,Urban Code,URBAN-CODE,Urban_Code,2205,1136,0,5.72,99999,Rurall,0
195762141,14,6919193,Urban Code,URBAN-CODE,Urban_Code,6874,3213,0,0.529,77446,St. George,0
195762142,14,6929098,Urban Code,URBAN-CODE,Urban_Code,6974,2812,0,2.54,99998,Small Urban,0
195762176,14,6920926,Urban Code,URBAN-CODE,Urban_Code,6516,0007,10.739,13.329,99998,Small Urban,0
195762284,14,6925108,Urban Code,URBAN-CODE,Urban_Code,2305,1586,1.034,8.51,99999,Rurall,0
195762285,14,6925145,Urban Code,URBAN-CODE,Urban_Code,1699,1612,0,19.45,99999,Rurall,0
195762188,14,6929357,Urban Code,URBAN-CODE,Urban_Code,1940,2906,0,2.562,72559,Provo-Orem,0
195762193,14,6919413,Urban Code,URBAN-CODE,Urban_Code,6878,3228,0,1.091,77446,St. George,0
195762143,14,6929183,Urban Code,URBAN-CODE,Urban_Code,6230,2838,0,8.002,99999,Rurall,0
195762144,14,6921016,Urban Code,URBAN-CODE,Urban_Code,6946,2406,0,27.343,99999,Rurall,0
195762145,14,6921017,Urban Code,URBAN-CODE,Urban_Code,6945,2409,0,0.117,99999,Rurall,0
195762146,14,6921018,Urban Code,URBAN-CODE,Urban_Code,6947,2415,0,17.556,99999,Rurall,0
195762147,14,6921019,Urban Code,URBAN-CODE,Urban_Code,2555,2417,0,8.471,99999,Rurall,0
195762148,14,6921020,Urban Code,URBAN-CODE,Urban_Code,6948,2421,0,16.079,99999,Rurall,0
195762149,14,6921021,Urban Code,URBAN-CODE,Urban_Code,2347,2424,0,8.221,99999,Rurall,0
