OBJECTID,Label,Route,Direction,Type_,Exit_Num,Ramp_Num,Beg_MP,End_MP,Speed_Limit,RteDirID,Shape_Length
365,0190P,0190,P,M,,,16.05,19.934,25,404,8225.98752225295
366,0089P,0089,P,M,,,86.412,89.202,55,1384,5657.7907235745
367,0061P,0061,P,M,,,0.735,4.586,55,1364,8294.98783876927
368,0126P,0126,P,M,,,0,1.92,40,1409,4138.27982328334
369,0189P,0189,P,M,,,24.955,28.452,60,403,7401.0590693914
370,0034P,0034,P,M,,,0,2.15,30,308,4369.72258780895
371,0117P,0117,P,M,,,8.025,8.263,45,331,494.252425012955
372,0313P,0313,P,M,,,3.32,3.578,25,1289,534.338847803869
373,0018P,0018,P,M,,,40.756,51.005,65,304,20882.9333199293
374,0026P,0026,P,M,,,2.463,3.724,35,1341,2731.50302473337
375,0222P,0222,P,M,,,2.041,3.361,30,420,2771.42822553845
376,0040P,0040,P,M,,,123.97,140.759,65,310,35536.7297917873
377,0012P,0012,P,M,,,59.987,60.629,40,1328,1311.90628139924
378,0119P,0119,P,M,,,6.58,8.753,35,1404,4464.03836026832
379,0173P,0173,P,M,,,4.822,7.807,45,1437,6324.4740214604
380,0084P,0084,P,M,,,88.471,88.471,65,1381,0
381,0113P,0113,P,M,,,0,1.377,45,1400,2930.95538076118
382,0276P,0276,P,M,,,70.983,71.919,55,1283,1889.34674396367
383,0118P,0118,P,M,,,14.485,14.853,45,1403,796.179759060245
384,0053P,0053,P,M,,,0,1.675,40,1358,3576.63401191731
385,0079P,0079,P,M,,,3.756,5.416,35,1376,3598.27162905226
386,0203P,0203,P,M,,,1.479,5.421,40,412,8441.36141817379
387,0068P,0068,P,M,,,59.231,60.869,40,1368,3502.37280608013
388,0157P,0157,P,M,,,4.576,5.189,25,1428,1280.67531501723
389,0089P,0089,P,M,,,410.051,411.642,50,1384,3386.57298099361
390,0106P,0106,P,M,,,0,1.382,35,1395,2931.63663057208
391,0257P,0257,P,M,,,0.799,37.784,65,255,76559.3314988396
392,0142P,0142,P,M,,,11.383,16.702,55,1417,11465.0792362324
393,0044P,0044,P,M,,,16.71,19.946,40,1353,6877.07396534871
394,0191P,0191,P,M,,,352.655,353.145,40,350,1050.67423001044
395,0006P,0006,P,M,,,105.504,126.147,65,1332,43238.4077680507
396,0132P,0132,P,M,,,34.152,34.83,45,1411,1416.78550925029
397,0035P,0035,P,M,,,28.498,29.732,55,1346,2606.50392540091
398,0024P,0024,P,M,,,0.65,8.189,65,1340,15625.6426813952
399,0015P,0015,P,M,,,11.682,16.567,75,1333,9884.02121812817
400,0063P,0063,P,M,,,0.681,1.501,35,316,1687.66078741356
401,0090P,0090,P,M,,,0.552,1.178,50,1385,1346.2320683362
402,0191P,0191,P,M,,,130.405,251.633,65,350,55790.3648897363
403,0089P,0089,P,M,,,254.786,256.254,35,1384,3063.8173262243
404,0095P,0095,P,M,,,51.332,113.561,65,1388,126499.781879664
405,0248P,0248,P,M,,,0,1.427,35,1279,3031.41096209395
406,0039P,0039,P,M,,,17.579,19.774,50,1349,4716.70201026708
407,0137P,0137,P,M,,,7.161,7.77,30,336,1288.83542423133
408,0191P,0191,P,M,,,85.682,89.134,55,350,7080.50678312667
409,0089P,0089,P,M,,,85.481,85.907,35,1384,862.361754523626
410,0006P,0006,P,M,,,24.499,25.248,50,1332,1555.7698637804
411,0126P,0126,P,M,,,4.98,6.187,40,1409,2601.16784057033
412,0164P,0164,P,M,,,0,0.235,45,1433,492.364179614323
413,0089N,0089,N,M,,,396.921,423.741,60,5463,4782.93703158681
414,0116P,0116,P,M,,,0.52,6.378,55,1402,12214.9532830116
415,0301P,0301,P,M,,,1.04,2.039,35,441,2114.97560740329
416,0021P,0021,P,M,,,79.608,104.898,65,305,51906.234335446
417,0030P,0030,P,M,,,51.314,54.595,65,1343,7081.31387833016
418,0080P,0080,P,M,,,125.603,155.536,65,321,63654.427767547
419,0208P,0208,P,M,,,0,10.205,55,354,21552.2515044982
420,0039P,0039,P,M,,,6.438,7.817,45,1349,2956.52323702872
421,0071P,0071,P,M,,,2.963,3.919,50,318,2029.13395789214
422,0160P,0160,P,M,,,0,1.615,40,1430,3314.62021361476
423,0084P,0084,P,M,,,82.446,85.452,65,1381,6453.85666448607
424,0112P,0112,P,M,,,1.092,5.97,60,1399,10355.7640417853
425,0265P,0265,P,M,,,0,4.336,45,1281,9150.08761094502
426,0121P,0121,P,M,,,0.725,1.603,45,1405,1843.49069280974
427,0048P,0048,P,M,,,3.464,4.562,40,312,2364.88115975434
428,0114P,0114,P,M,,,7.718,10.421,50,330,5733.26810109416
429,0301P,0301,P,M,,,0.409,1.04,25,441,1337.16199440844
430,0018P,0018,P,M,,,4.259,7.165,55,304,5851.03553732632
431,0028P,0028,P,M,,,37.877,38.217,55,1342,712.449429040639
432,0080P,0080,P,M,,,123.198,125.603,70,321,5105.0234002793
433,0219P,0219,P,M,,,0,1.667,45,419,3381.86178946217
434,0035P,0035,P,M,,,42.074,42.965,40,1346,1877.89834269681
435,0070P,0070,P,M,,,63.806,68.292,70,1370,9270.30473204184
436,0012P,0012,P,M,,,25.98,28.746,60,1328,5638.90212767883
437,0120P,0120,P,M,,,0.5,1.148,50,332,1342.52698143788
438,0162P,0162,P,M,,,13.923,15.015,35,344,2215.09761022066
439,0087P,0087,P,M,,,1.49,9.451,60,323,16794.0157383884
440,0108P,0108,P,M,,,1.031,4.103,45,1396,6547.88189465962
441,0273P,0273,P,M,,,1.192,1.966,40,258,1644.17096307121
442,0121P,0121,P,M,,,39.641,40.293,35,1405,1396.54746740342
443,0045P,0045,P,M,,,0,5.137,50,1354,10789.1661457296
444,0079P,0079,P,M,,,0,0.938,50,1376,2023.5432809508
445,0198P,0198,P,M,,,2.916,3.49,50,408,1209.4072941117
446,0006P,0006,P,M,,,248.266,249.663,50,1332,2919.41910702824
447,0024P,0024,P,M,,,69.049,69.628,45,1340,1191.2342197205
448,0070N,0070,N,M,,,148.269,231.673,80,6662,345650.168787063
449,0155P,0155,P,M,,,0,3.877,55,1427,8099.23608707172
450,0089P,0089,P,M,,,381.322,381.727,45,1384,864.65034342024
451,0104P,0104,P,M,,,1.885,2.595,45,1393,1589.55035524189
452,0264P,0264,P,M,,,8.306,15.373,30,430,14783.3773224984
453,0145P,0145,P,M,,,6.371,6.862,35,1419,1050.09176882003
454,0089P,0089,P,M,,,131.25,132.177,35,1384,1898.04046006009
455,0055P,0055,P,M,,,0,0.708,40,1360,1469.76169374116
456,0191P,0191,P,M,,,393.046,394.315,30,350,2702.2682271363
457,0006P,0006,P,M,,,129.001,139.211,65,1332,21483.2477070943
458,0130P,0130,P,M,,,2.955,6.543,45,1410,7236.46991850976
459,0176P,0176,P,M,,,0,1.042,45,7082,2219.26996018928
460,0030P,0030,P,M,,,119.507,124.414,50,1343,10572.0809191111
461,0024P,0024,P,M,,,55.911,56.384,40,1340,976.145214133794
462,0015P,0015,P,M,,,366.319,400.592,80,1333,74070.6464830461
463,0068P,0068,P,M,,,0,0.702,40,1368,1485.82744044072
464,0089P,0089,P,M,,,472.526,478.718,45,1384,13218.1665898814
465,0010P,0010,P,M,,,26.503,27.279,35,1327,1616.99910793353
466,0320P,0320,P,M,,,0,2.75,,267,5777.32812688578
467,0196P,0196,P,M,,,14.237,18.677,55,407,9405.87473587761
468,0012P,0012,P,M,,,18.415,20.496,55,1328,4267.62062485846
469,0089P,0089,P,M,,,283.14,284.238,35,1384,2303.07684765415
470,0096P,0096,P,M,,,5.545,6.547,30,1389,2102.46464511957
471,0224P,0224,P,M,,,6.892,7.373,45,357,1021.17987384118
472,0040P,0040,P,M,,,87.102,87.549,45,310,942.511850353866
473,0132P,0132,P,M,,,58.947,59.629,50,1411,1430.46344084668
474,0191P,0191,P,M,,,41.34,49.154,65,350,15920.3196945356
475,0087P,0087,P,M,,,21.725,23.031,45,323,2768.62789507044
476,0099P,0099,P,M,,,0.689,1.547,40,1390,1776.86529141039
477,0123P,0123,P,M,,,7.468,8.22,55,1407,1564.48599349508
478,0165P,0165,P,M,,,4.334,5.307,45,345,2099.78100332788
479,0087P,0087,P,M,,,9.451,21.038,55,323,24447.7827926622
480,0118P,0118,P,M,,,6.547,6.853,40,1403,631.527693666009
481,0287P,0287,P,M,,,0,0.759,40,436,1617.95083188326
482,0018P,0018,P,M,,,12.268,12.793,55,304,1058.82830889494
483,0029P,0029,P,M,,,19.898,21.732,55,307,3829.16604608371
484,0080P,0080,P,M,,,118.173,123.198,65,321,5544.04905233073
485,0215N,0215,N,M,,,5.975,18.86,70,6665,27466.8911065095
486,0039P,0039,P,M,,,7.817,8.884,50,1349,2284.9147564586
487,0068P,0068,P,M,,,68.244,70.064,35,1368,3888.0690833526
488,0012P,0012,P,M,,,92.187,113.359,40,1328,43465.3263722263
489,0162P,0162,P,M,,,15.197,22.233,55,344,14253.3321488851
490,0084P,0084,P,M,,,85.452,88.471,70,1381,6477.0641874886
491,0108P,0108,P,M,,,11.432,12.92,50,1396,3192.89181733744
492,0276P,0276,P,M,,,53.764,63.911,65,1283,20528.1619626462
493,0145P,0145,P,M,,,5.633,6.371,45,1419,1562.55216626032
494,0044P,0044,P,M,,,13.479,16.71,50,1353,6866.70114692992
495,0073P,0073,P,M,,,35.085,35.712,50,1372,1333.85845205966
496,0198P,0198,P,M,,,5.154,5.638,30,408,1030.6458981099
497,0006P,0006,P,M,,,241.807,246.333,60,1332,9458.34654706298
498,0009P,0009,P,M,,,12.776,14.54,55,1326,3567.95203885035
499,0023P,0023,P,M,,,6.441,6.645,45,1339,438.230086573422
500,0016P,0016,P,M,,,20.541,21.012,30,1334,1005.49468504577
501,0065P,0065,P,M,,,2.481,5.277,45,1367,5930.70134327864
502,0072P,0072,P,M,,,23.987,31.758,50,1371,16111.3001478465
